SPECIES,LONG_WGS84,LAT_WGS84,LONGITUDE,LATITUDE,ELEVATION,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Microtus californicus,-117.086,33.119,-117.086,33.119,199,1642,1608,55,43302,3146.425049,274.649994,2871.775146,1171,2196,2229,1108,42923.39844,9170.700195,71.175003,92,24752.19922,525.549988,900,24501
Microtus californicus,-121.811248,36.913727,-121.811248,36.913727,33,1337,1344,67,23264,2311.149902,306.450012,2004.699951,1016,1589,1616,1016,55557.80078,11772.09961,63.849998,95,33108.47656,537.399963,1207,33108
Microtus californicus,-117.332283,34.597311,-117.332283,34.597311,830,1620,1738,46,70430,3674.699951,-70.375,3745.074951,756,2561,2561,756,12429.2998,2500.524902,164.574997,74,6509.274902,850.450012,850,6509
Microtus californicus,-122.11396,37.88555,-122.11396,37.88555,94,1429,1330,51,43519,2892.324951,316.625,2575.699951,860,1961,1975,860,57627.625,12740.75,18.6,94,34426.72656,576.799988,1053,34427
Microtus californicus,-121.957748,37.835818,-121.957748,37.835818,190,1453,1381,51,44297,2990.699951,321.850006,2668.849854,881,1996,2021,881,46206.30078,9951.625,22.35,92,27038,483.549988,965,27038
Microtus californicus,-122.257008,37.302572,-122.257008,37.302572,259,1324,1276,63,27994,2490.600098,486.350006,2004.250122,998,1625,1701,998,79849.47656,17442.19922,113.899994,91,45836.64844,1074.224976,1584,45837
Microtus californicus,-123.52347,40.49,-123.52347,40.49,1030,1073,1542,48,58110,2973.175049,-202.350006,3175.525146,393,1836,1873,393,164361.3438,31772.625,374.774994,83,89141.45313,3318.550049,4250,89141
Microtus californicus,-122.6073,42.2222,-122.6073,42.2222,773,999,1492,45,61554,2953.475098,-342.674988,3296.150146,306,1810,1810,234,67145.89844,9398.775391,1074.974976,52,27677.5,5262.875,5263,26124
Microtus californicus,-122.8495,42.2758,-122.8495,42.2758,467,1161,1517,46,61600,3155.824951,-122.125,3277.949951,437,1976,1976,397,51607.32422,7984.25,609.350037,58,23282.92578,3671.925049,3672,21863
Microtus californicus,-122.22577,37.73068,-122.22577,37.73068,0,1409,848,54,25285,2161.575195,612.700012,1548.875244,1053,1673,1703,1053,43922.17578,9027.299805,42.75,89,25119.92578,527.25,1042,25120
Microtus californicus,-122.27153,37.86979,-122.27153,37.86979,56,1384,868,54,25911,2168.375,569.900024,1598.474976,1015,1644,1675,1015,50765.72656,11077.72461,19.4,92,29696.75,534.25,1151,29697
Microtus californicus,-118.49432,35.427711,-118.49432,35.427711,1123,1294,1429,43,63819,3220.774902,-79.674995,3300.449951,617,2159,2160,552,25564.625,4853.325195,49.625,85,14034.75,515.150024,580,13240
Microtus californicus,-118.34449,35.463044,-118.34449,35.463044,2048,861,1153,37,68376,2677.774902,-433.799988,3111.574951,66,1812,1812,66,32676.79883,5937.924805,103.824997,79,16826.75,1278.699951,1279,16827
Microtus californicus,-118.34507,35.479333,-118.34507,35.479333,2155,857,1162,36,68517,2706.149902,-446.475006,3152.625,55,1807,1807,55,34478.10156,6416.200195,102.699997,80,17874.75,1288.349976,1288,17875
