SPECIES,LONG_WGS84,LAT_WGS84,YEAR,BIO01,BIO02,BIO03,BIO04,BIO05,BIO06,BIO07,BIO08,BIO09,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Callospermophilus lateralis,-109.5014,33.9588,1981,516,1634,48,62143,2245.46875,-1122.074951,3367.543701,1284,786,1339,-242,76519.75781,11105.0127,2017.306274,40,26868.69922,8873.037109,23227,20304
Callospermophilus lateralis,-109.4634,35.7001,1981,976,1640,42,79645,3028.643799,-825.493774,3854.137695,1955,1342,2021,-25,30011.41797,4405.556152,698.331238,38,11209.72461,3967.118652,8878,6814
Callospermophilus lateralis,-106.723343,35.883335,1981,655,1711,44,74458,2677.975098,-1131.637451,3809.612549,1556,1025,1630,-280,54771.66406,8506.650391,2799.268799,35,20702.29492,9191.962891,18436,11807
Callospermophilus lateralis,-105.41,40.19,1981,686,1357,39,73666,2657.556152,-781.650024,3439.206055,529,-202,1679,-202,48923.38672,6755.362305,1854.481201,39,17757.34375,5812.993652,14998,5813
Callospermophilus lateralis,-105.42,40.4,1981,661,1491,42,72610,2680.643799,-860.074951,3540.71875,978,-217,1640,-217,42988.17969,6166.8125,1234.34375,46,16031.2627,4262.837402,14939,4263
Callospermophilus lateralis,-109.332361,34.214444,1982,1004,1810,48,71354,2930.287598,-799.706238,3729.993896,1882,1328,1929,115,28232.18164,7224.106445,928.981262,87,16615.5,2920.287598,14215,3660
Callospermophilus lateralis,-112.1176,36.4625,1982,712,1402,40,73468,2611.518799,-811.25,3422.768799,-48,1020,1707,-156,71176.71875,10499.4248,1800.475098,40,27922.48828,9252.543945,13822,23704
Callospermophilus lateralis,-120.180626,38.402671,1982,836,1159,39,66738,2562.225098,-386.299988,2948.525146,68,1713,1727,68,140963.1094,26971.48047,682.950012,79,73924.20313,4135.581055,5364,73924
Callospermophilus lateralis,-119.80982,38.54463,1982,371,1098,39,60389,1929.65625,-819.34375,2749,-303,1184,1199,-303,136251.3438,23191.9375,1452.112549,71,66099.35938,6754.818848,6891,66099
Callospermophilus lateralis,-116.78597,34.158636,1982,919,1481,46,61275,2701.399902,-489.424988,3190.824951,267,1511,1745,201,76259.25,17241.51953,183.237503,87,43498.3125,2768.09375,3874,42589
Callospermophilus lateralis,-116.77998,34.20787,1982,559,1591,51,55903,2300.368652,-787.375,3087.743652,-28,1323,1323,-78,87703.88281,18580.125,327.443756,87,51347.75,3804.449951,3804,46497
Callospermophilus lateralis,-107.033263,38.763084,1982,203,1764,40,86880,2425.387451,-1896.599976,4321.987305,-784,620,1304,-940,51985.91797,5270.600098,2626.449951,15,14861.49414,10274.16895,11828,14812
Callospermophilus lateralis,-106.324777,38.576914,1983,-52,1345,40,69566,1722.21875,-1610.643799,3332.862549,-543,632,868,-919,68509.20313,7920.631348,2922.231201,22,21656.29492,12806.3623,13450,18674
Callospermophilus lateralis,-116.13235,41.69629,1983,388,1076,33,73613,2311.193848,-913.8125,3225.006348,-388,1371,1392,-459,88952.35156,11162.54395,1318.643799,50,32393.86719,6598.525391,6908,30820
Callospermophilus lateralis,-107.515972,38.412603,1984,578,1792,41,85886,2814.84375,-1537.931274,4352.774902,1236,-554,1673,-554,34911.90625,4289.037598,1831.681274,25,11907.53125,6745.881348,8979,6746
Callospermophilus lateralis,-107.529351,38.422568,1984,531,1952,42,89468,2905.0625,-1712.737549,4617.799805,1205,-677,1655,-677,34413.21875,4188.65625,1822.743774,25,11735.84961,6526.706055,8999,6527
Callospermophilus lateralis,-107.500863,38.443679,1984,574,1776,41,86234,2804.256348,-1523.175049,4327.431641,1236,-562,1676,-562,39193.14844,4616.068848,2020.737549,22,12925.91895,8054.318359,9741,8054
Callospermophilus lateralis,-107.269749,38.542711,1984,458,1584,38,87652,2608.587402,-1509.662476,4118.25,1508,-92,1582,-695,42219.10547,5556.331055,2128.574951,31,15227.64355,6966.481445,13766,9075
Callospermophilus lateralis,-109.52806,40.45556,1984,806,1653,36,99581,3229.418945,-1341.074951,4570.494141,1512,-536,2065,-536,21540.09375,3331.537598,1076.418701,35,7496.700195,3543.606201,4733,3544
Callospermophilus lateralis,-111.2155,44.5716,1985,197,1285,34,83403,2340.350098,-1389.881226,3730.231445,-760,1245,1307,-837,97467.32031,12090.59375,4029.862549,33,33863.82031,13203.06836,15273,33472
Callospermophilus lateralis,-113.6627,46.5744,1985,605,1474,39,78412,2772.981201,-955.21875,3728.199951,981,1574,1638,-383,50646.32422,5986.112305,2984.21875,22,16241.72461,10078.40039,12341,12682
Callospermophilus lateralis,-107.23053,38.492383,1985,469,1771,39,91635,2761.71875,-1735.993774,4497.712402,1558,-106,1622,-759,34073.88281,4779.393555,1577.318726,38,13230.26855,5501.043945,11674,6765
Callospermophilus lateralis,-111.2358,44.5716,1985,185,1192,32,83559,2270.731201,-1376.306274,3647.037598,-772,1246,1300,-839,101076.9609,12619.70605,4102.837402,34,35466.94531,13349.88672,15445,34990
Callospermophilus lateralis,-111.42,42.46,1986,482,1580,37,89680,2824.024902,-1378.787598,4202.8125,428,1638,1638,-687,41175.07031,4645.537598,2436.993652,16,11620.83789,8091.912109,8092,10758
Callospermophilus lateralis,-119.265487,38.469445,1987,479,1523,45,65171,2392.506348,-940.924988,3333.431396,-276,1359,1359,-276,52981.21875,7515.96875,1762.387451,53,22220.42578,5342.649902,5343,22220
Callospermophilus lateralis,-111.6708,35.2265,1988,782,1760,46,71621,2815.206299,-960.349976,3775.556152,1697,1057,1730,-96,53497.69531,6767.162598,1265.699951,41,18460.8125,5692.331055,14057,14781
Callospermophilus lateralis,-111.7503,35.3503,1988,644,1625,46,66924,2525.993652,-988.131287,3514.125,-36,899,1529,-181,66022.33594,8713.737305,1279.337524,38,21751.78125,8130.381348,17187,18923
Callospermophilus lateralis,-106.752671,38.302025,1988,292,1777,41,85087,2466.168701,-1784.043701,4250.212402,1307,-828,1372,-828,36075.40625,4831.850098,2008.331299,26,12403.65039,7281.931152,10964,7282
Callospermophilus lateralis,-105.668327,35.759724,1990,571,1746,48,66782,2443.868652,-1167.337524,3611.206055,1384,-266,1462,-266,55923.28125,10086.34961,2288.006348,52,24156.26172,7943.75,23297,7944
Callospermophilus lateralis,-120.851627,41.611897,1990,830,1521,42,72383,2957.712402,-651.768738,3609.481201,28,1795,1795,-40,39480.17578,5308.456055,625.40625,48,15083.19336,3386.918701,3387,14129
Callospermophilus lateralis,-112.91341,37.59466,1990,592,1225,37,73280,2405.949951,-886.112488,3292.0625,-181,1324,1583,-279,71427.76563,10063.875,1998.387451,32,24812.6875,11027.77441,13499,20551
Callospermophilus lateralis,-113.41389,41.92111,1990,155,1166,35,72617,2087.899902,-1173.462524,3261.362305,-30,1142,1142,-696,72766.32813,8647.994141,2890.46875,39,25052.10547,8894.599609,8895,23739
